,Draw Id,Date,Time,1,2,3,4,5,6
0,6855,11-03-2023,22:00:00,34,40,48,33,38,21
1,6854,09-03-2023,22:00:00,30,29,47,15,28,24
2,6853,07-03-2023,22:00:00,32,17,4,27,14,31
3,6852,04-03-2023,22:00:00,31,27,23,17,44,43
4,6851,02-03-2023,22:00:00,28,41,30,26,6,38
5,6850,28-02-2023,22:00:00,31,20,33,2,29,30
6,6849,25-02-2023,22:00:00,5,43,26,16,13,20
7,6848,23-02-2023,22:00:00,7,41,18,36,5,13
8,6847,21-02-2023,22:00:00,46,43,49,26,47,1
9,6846,18-02-2023,22:00:00,41,37,4,8,25,22
10,6845,16-02-2023,22:00:00,40,2,14,10,47,4
11,6844,14-02-2023,22:00:00,40,3,30,47,36,18
12,6843,11-02-2023,22:00:00,10,38,39,7,45,34
13,6842,09-02-2023,22:00:00,27,38,40,41,39,33
14,6841,07-02-2023,22:00:00,37,36,35,47,16,44
15,6840,04-02-2023,22:00:00,26,8,32,1,34,40
16,6839,02-02-2023,22:00:00,44,3,7,11,38,8
17,6838,31-01-2023,22:00:00,33,25,46,41,30,36
18,6837,28-01-2023,22:00:00,22,37,36,19,9,14
19,6836,26-01-2023,22:00:00,13,14,42,38,5,3
20,6835,24-01-2023,22:00:00,37,14,10,35,48,29
21,6834,21-01-2023,22:00:00,40,39,19,13,48,27
22,6833,19-01-2023,22:00:00,34,40,2,13,10,15
23,6832,17-01-2023,22:00:00,3,43,48,46,35,49
24,6831,14-01-2023,22:00:00,32,47,49,27,48,19
25,6830,12-01-2023,22:00:00,8,44,24,41,29,12
26,6829,10-01-2023,22:00:00,1,9,18,6,21,20
27,6828,07-01-2023,22:00:00,49,36,4,21,11,35
28,6827,05-01-2023,22:00:00,3,6,21,17,1,23
29,6826,03-01-2023,22:00:00,20,21,25,1,35,29
30,6825,31-12-2022,22:00:00,6,13,12,44,22,45
31,6824,29-12-2022,22:00:00,25,35,38,47,32,20
32,6823,27-12-2022,22:00:00,45,31,42,43,11,4
33,6822,24-12-2022,22:00:00,46,14,37,21,24,18
34,6821,22-12-2022,22:00:00,21,30,47,34,48,6
35,6820,20-12-2022,22:00:00,40,28,13,33,23,4
36,6819,17-12-2022,22:00:00,13,42,40,11,49,31
37,6818,15-12-2022,22:00:00,43,28,29,23,44,27
38,6817,13-12-2022,22:00:00,4,13,26,38,36,20
39,6816,10-12-2022,22:00:00,13,45,40,36,27,19
40,6815,08-12-2022,22:00:00,45,47,24,7,34,27
41,6814,06-12-2022,22:00:00,13,37,23,29,49,42
42,6813,03-12-2022,22:00:00,13,26,40,24,25,9
43,6812,01-12-2022,22:00:00,39,21,8,32,12,27
44,6811,29-11-2022,22:00:00,2,32,4,42,35,29
45,6810,26-11-2022,22:00:00,42,11,48,27,28,26
46,6809,24-11-2022,22:00:00,29,36,41,27,28,46
47,6808,22-11-2022,22:00:00,7,16,1,14,46,36
48,6807,19-11-2022,22:00:00,26,48,4,20,34,9
49,6806,17-11-2022,22:00:00,36,33,25,43,29,13
50,6805,15-11-2022,22:00:00,6,45,38,4,18,15
51,6804,12-11-2022,22:00:00,10,37,2,30,34,44
52,6803,10-11-2022,22:00:00,33,6,42,26,43,3
53,6802,08-11-2022,22:00:00,20,26,10,21,5,6
54,6801,05-11-2022,22:00:00,23,11,27,1,18,13
