,Draw Id,Date,Time,1,2,3,4,5,6
92,6761,04-08-2022,22:00:00,28,30,45,12,35,47
93,6760,02-08-2022,22:00:00,24,45,38,49,28,29
94,6759,30-07-2022,21:50:00,10,20,12,17,13,25
95,6758,28-07-2022,21:50:00,47,27,8,25,18,22
96,6757,26-07-2022,21:50:00,45,23,8,29,6,19
97,6756,23-07-2022,21:50:00,3,1,20,36,13,39
98,6755,21-07-2022,21:50:00,48,39,3,45,17,8
99,6754,19-07-2022,21:50:00,47,21,24,11,15,7
100,6753,16-07-2022,21:50:00,44,47,15,36,6,13
101,6752,14-07-2022,21:50:00,45,13,38,19,17,42
102,6751,12-07-2022,21:50:00,22,21,2,48,13,8
103,6750,09-07-2022,21:50:00,38,7,17,26,21,48
104,6749,07-07-2022,21:50:00,28,38,49,2,42,39
105,6748,05-07-2022,21:50:00,8,10,49,9,39,46
106,6747,02-07-2022,21:50:00,31,19,30,27,9,1
107,6746,30-06-2022,21:50:00,2,42,16,48,39,20
108,6745,28-06-2022,21:50:00,20,14,3,22,1,37
109,6744,25-06-2022,21:50:00,31,15,19,13,3,40
110,6743,23-06-2022,21:50:00,48,44,22,42,10,13
111,6742,21-06-2022,21:50:00,9,13,38,6,46,40
112,6741,18-06-2022,21:50:00,33,20,13,11,47,32
113,6740,16-06-2022,21:50:00,14,13,6,21,42,4
114,6739,14-06-2022,21:50:00,29,4,18,42,16,28
115,6738,11-06-2022,21:50:00,17,24,20,10,18,12
116,6737,09-06-2022,21:50:00,39,34,21,9,8,41
117,6736,07-06-2022,21:50:00,16,10,2,5,4,12
118,6735,04-06-2022,21:50:00,42,19,17,48,12,6
119,6734,02-06-2022,21:50:00,47,49,17,34,44,2
120,6733,31-05-2022,21:50:00,44,30,9,46,22,23
121,6732,28-05-2022,21:50:00,16,7,38,14,8,40
122,6731,26-05-2022,21:50:00,7,19,31,8,38,11
123,6730,24-05-2022,21:50:00,24,23,39,19,13,46
124,6729,21-05-2022,21:50:00,21,39,26,20,37,23
125,6728,19-05-2022,21:50:00,19,34,16,11,21,29
126,6727,17-05-2022,21:50:00,19,1,35,41,16,30
127,6726,14-05-2022,21:50:00,12,16,24,26,44,23
128,6725,12-05-2022,21:50:00,1,13,42,36,34,26
129,6724,10-05-2022,21:50:00,47,20,6,1,29,8
130,6723,07-05-2022,21:50:00,4,5,38,10,37,45
131,6722,05-05-2022,21:50:00,47,23,28,14,42,39
132,6721,03-05-2022,21:50:00,20,11,12,23,32,3
133,6720,30-04-2022,21:50:00,42,49,12,32,16,14
134,6719,28-04-2022,21:50:00,44,1,2,17,7,48
135,6718,26-04-2022,21:50:00,15,45,29,48,3,46
136,6717,23-04-2022,21:50:00,35,3,23,29,5,15
137,6716,21-04-2022,21:50:00,36,17,14,42,2,15
138,6715,19-04-2022,21:50:00,48,30,4,49,35,37
139,6714,16-04-2022,21:50:00,45,20,12,21,5,37
140,6713,14-04-2022,21:50:00,26,41,8,43,5,39
141,6712,12-04-2022,21:50:00,19,44,26,46,12,27
142,6711,09-04-2022,21:50:00,38,40,16,24,21,46
143,6710,07-04-2022,21:50:00,1,42,47,27,14,5
144,6709,05-04-2022,21:50:00,1,20,11,42,15,7
145,6708,02-04-2022,21:50:00,15,30,42,46,17,27
146,6707,31-03-2022,21:50:00,6,17,40,12,7,9
147,6706,29-03-2022,21:50:00,24,44,28,7,19,40
148,6705,26-03-2022,21:50:00,45,26,24,34,32,43
149,6704,24-03-2022,21:50:00,23,13,25,15,39,49
150,6703,22-03-2022,21:50:00,27,7,11,17,34,32
151,6702,19-03-2022,21:50:00,44,7,8,6,28,29
152,6701,17-03-2022,21:50:00,35,34,6,28,7,22
153,6700,15-03-2022,21:50:00,47,6,9,40,16,17
154,6699,12-03-2022,21:50:00,49,20,39,8,38,11
155,6698,10-03-2022,21:50:00,26,5,28,3,14,19
156,6697,08-03-2022,21:50:00,14,11,39,26,49,8
157,6696,05-03-2022,21:50:00,26,5,9,42,33,45
158,6695,03-03-2022,21:50:00,7,37,15,34,14,35
159,6694,01-03-2022,21:50:00,10,13,2,9,35,28
160,6693,26-02-2022,21:50:00,11,23,43,27,44,40
161,6692,24-02-2022,21:50:00,31,37,40,33,9,43
162,6691,22-02-2022,21:50:00,7,25,47,41,21,3
163,6690,19-02-2022,21:50:00,11,33,30,17,35,43
164,6689,17-02-2022,21:50:00,36,9,2,23,3,28
165,6688,15-02-2022,21:50:00,8,17,9,26,2,27
166,6687,12-02-2022,21:50:00,24,10,33,40,47,49
167,6686,10-02-2022,21:50:00,44,36,45,7,14,47
168,6685,08-02-2022,21:50:00,12,17,49,15,3,28
169,6684,05-02-2022,21:50:00,44,30,22,47,19,40
170,6683,03-02-2022,21:50:00,23,19,14,20,46,5
171,6682,01-02-2022,21:50:00,12,32,5,35,19,17
172,6681,29-01-2022,21:50:00,36,44,8,20,33,31
173,6680,27-01-2022,21:50:00,45,3,35,9,7,49
