,Draw Id,Date,Time,1,2,3,4,5,6
92,6760,02-08-2022,22:00:00,9,17,22,49,14,37
93,6759,30-07-2022,21:50:00,42,48,13,1,33,12
94,6758,28-07-2022,21:50:00,39,38,49,2,16,9
95,6757,26-07-2022,21:50:00,20,30,46,34,24,10
96,6756,23-07-2022,21:50:00,17,43,39,1,4,22
97,6755,21-07-2022,21:50:00,21,1,24,34,37,39
98,6754,19-07-2022,21:50:00,14,16,24,26,39,11
99,6753,16-07-2022,21:50:00,19,26,21,16,32,5
100,6752,14-07-2022,21:50:00,31,18,34,49,22,15
101,6751,12-07-2022,21:50:00,38,3,28,19,32,9
102,6750,09-07-2022,21:50:00,39,8,15,13,41,36
103,6749,07-07-2022,21:50:00,14,44,7,21,32,28
104,6748,05-07-2022,21:50:00,2,38,34,20,40,14
105,6747,02-07-2022,21:50:00,30,33,10,35,46,4
106,6746,30-06-2022,21:50:00,25,38,39,29,35,30
107,6745,28-06-2022,21:50:00,34,45,24,29,3,36
108,6744,25-06-2022,21:50:00,49,27,38,41,20,28
109,6743,23-06-2022,21:50:00,34,46,27,3,4,30
110,6742,21-06-2022,21:50:00,12,15,34,27,49,24
111,6741,18-06-2022,21:50:00,41,30,26,18,10,16
112,6740,16-06-2022,21:50:00,18,45,39,38,21,13
113,6739,14-06-2022,21:50:00,21,18,14,45,13,29
114,6738,11-06-2022,21:50:00,47,30,5,23,49,48
115,6737,09-06-2022,21:50:00,19,29,18,44,17,7
116,6736,07-06-2022,21:50:00,27,39,31,12,4,28
117,6735,04-06-2022,21:50:00,29,48,24,2,13,22
118,6734,02-06-2022,21:50:00,10,26,46,39,35,20
119,6733,31-05-2022,21:50:00,8,35,11,18,43,13
120,6732,28-05-2022,21:50:00,4,9,31,10,15,44
121,6731,26-05-2022,21:50:00,49,33,4,7,20,13
122,6730,24-05-2022,21:50:00,48,34,11,27,17,25
123,6729,21-05-2022,21:50:00,14,37,15,35,47,12
124,6728,19-05-2022,21:50:00,29,17,28,39,43,21
125,6727,17-05-2022,21:50:00,5,18,39,1,14,4
126,6726,14-05-2022,21:50:00,14,47,19,42,24,27
127,6725,12-05-2022,21:50:00,12,49,21,14,45,25
128,6724,10-05-2022,21:50:00,40,4,42,12,38,21
129,6723,07-05-2022,21:50:00,15,22,7,35,49,21
130,6722,05-05-2022,21:50:00,24,4,16,29,12,21
131,6721,03-05-2022,21:50:00,31,9,13,33,18,14
132,6720,30-04-2022,21:50:00,29,38,12,1,23,10
133,6719,28-04-2022,21:50:00,12,44,28,9,8,20
134,6718,26-04-2022,21:50:00,20,18,4,5,14,3
135,6717,23-04-2022,21:50:00,17,4,29,32,5,42
136,6716,21-04-2022,21:50:00,31,46,26,16,32,3
137,6715,19-04-2022,21:50:00,45,22,35,28,24,11
138,6714,16-04-2022,21:50:00,36,2,39,45,24,19
139,6713,14-04-2022,21:50:00,4,42,33,2,38,35
140,6712,12-04-2022,21:50:00,32,13,1,12,24,34
141,6711,09-04-2022,21:50:00,47,10,26,16,1,34
142,6710,07-04-2022,21:50:00,2,25,23,20,33,43
143,6709,05-04-2022,21:50:00,6,24,9,48,28,43
144,6708,02-04-2022,21:50:00,19,41,4,20,1,25
145,6707,31-03-2022,21:50:00,17,14,5,47,26,1
146,6706,29-03-2022,21:50:00,7,3,48,26,38,24
147,6705,26-03-2022,21:50:00,48,12,40,32,2,30
148,6704,24-03-2022,21:50:00,21,16,36,29,38,41
149,6703,22-03-2022,21:50:00,3,33,18,22,34,2
150,6702,19-03-2022,21:50:00,26,41,29,27,2,46
151,6701,17-03-2022,21:50:00,34,27,47,45,35,2
152,6700,15-03-2022,21:50:00,11,22,15,3,12,32
153,6699,12-03-2022,21:50:00,39,2,48,45,35,25
154,6698,10-03-2022,21:50:00,31,16,26,24,11,29
155,6697,08-03-2022,21:50:00,5,24,35,40,2,29
156,6696,05-03-2022,21:50:00,20,38,9,18,17,16
157,6695,03-03-2022,21:50:00,12,17,39,2,47,3
158,6694,01-03-2022,21:50:00,17,35,3,33,27,32
159,6693,26-02-2022,21:50:00,21,48,39,9,20,44
160,6692,24-02-2022,21:50:00,45,10,2,24,11,30
161,6691,22-02-2022,21:50:00,8,46,16,35,7,27
162,6690,19-02-2022,21:50:00,30,4,25,41,7,44
163,6689,17-02-2022,21:50:00,49,28,8,11,7,41
164,6688,15-02-2022,21:50:00,6,15,32,49,42,34
165,6687,12-02-2022,21:50:00,30,23,8,14,42,44
166,6686,10-02-2022,21:50:00,21,36,6,41,46,20
167,6685,08-02-2022,21:50:00,15,21,29,42,27,28
168,6684,05-02-2022,21:50:00,46,41,44,1,5,43
169,6683,03-02-2022,21:50:00,7,48,20,12,25,38
170,6682,01-02-2022,21:50:00,15,21,12,1,6,42
171,6681,29-01-2022,21:50:00,28,20,45,39,26,13
172,6680,27-01-2022,21:50:00,24,38,30,12,3,27
173,6679,25-01-2022,21:50:00,35,8,1,6,38,49
174,6678,22-01-2022,21:50:00,3,1,19,37,21,23
175,6677,20-01-2022,21:50:00,17,25,9,14,40,13
176,6676,18-01-2022,21:50:00,29,42,21,31,8,15
177,6675,15-01-2022,21:50:00,6,20,48,34,37,41
178,6674,13-01-2022,21:50:00,14,47,41,24,6,40
179,6673,11-01-2022,21:50:00,47,35,15,7,42,12
180,6672,08-01-2022,21:50:00,34,10,33,18,29,45
181,6671,06-01-2022,21:50:00,8,36,37,38,5,1
182,6670,04-01-2022,21:50:00,49,23,8,36,39,25
183,6669,01-01-2022,21:50:00,19,11,17,3,24,4
184,6668,30-12-2021,21:50:00,16,2,45,28,9,39
185,6667,28-12-2021,21:50:00,45,22,27,8,1,12
186,6666,25-12-2021,21:50:00,28,47,30,31,37,49
187,6665,23-12-2021,21:50:00,39,12,30,21,29,15
188,6664,21-12-2021,21:50:00,24,41,8,48,15,46
189,6663,18-12-2021,21:50:00,17,42,25,43,22,3
190,6662,16-12-2021,21:50:00,29,34,21,18,4,25
191,6661,14-12-2021,21:50:00,25,26,27,32,44,48
192,6660,11-12-2021,21:50:00,19,22,23,26,29,45
193,6659,09-12-2021,21:50:00,3,7,32,41,43,46
194,6658,07-12-2021,21:50:00,10,12,24,26,37,44
195,6657,04-12-2021,21:50:00,39,38,16,15,37,42
196,6656,02-12-2021,21:50:00,49,37,42,6,36,10
197,6655,30-11-2021,21:50:00,7,9,35,19,28,18
198,6654,27-11-2021,21:50:00,17,23,7,39,24,42
199,6653,25-11-2021,21:50:00,11,48,4,37,27,22
200,6652,23-11-2021,21:50:00,47,24,19,46,48,31
201,6651,20-11-2021,21:50:00,27,9,23,39,33,7
202,6650,18-11-2021,21:50:00,5,2,44,39,19,28
203,6649,16-11-2021,21:50:00,11,39,29,22,21,42
204,6648,13-11-2021,21:50:00,22,28,31,12,18,29
205,6647,11-11-2021,21:50:00,17,14,38,27,41,15
206,6646,09-11-2021,21:50:00,12,40,6,24,30,9
207,6645,06-11-2021,21:50:00,13,41,22,19,1,24
208,6644,04-11-2021,21:50:00,40,5,13,1,11,7
209,6643,02-11-2021,21:50:00,10,46,40,6,41,8
210,6642,30-10-2021,21:50:00,10,13,1,18,45,11
211,6641,28-10-2021,21:50:00,11,18,21,37,41,6
212,6640,26-10-2021,21:50:00,35,4,22,48,29,5
213,6639,23-10-2021,21:50:00,13,38,1,49,43,31
